input_text,target_text,conversation_id,windex,split,corpus
"dialog acts:
mn015: but in reality already um much much longer. (72)
mn015: and um um next to some some more or less bureaucratic uh stuff with the the data collection she's also the wizard in the data collection. (73)
fe004: of oz. (74)",Statement,Bed006,74,test,mrda
"dialog acts:
mn015: and um um next to some some more or less bureaucratic uh stuff with the the data collection she's also the wizard in the data collection. (73)
fe004: of oz. (74)
mn015: um (75)",Floor Holder,Bed006,75,test,mrda
"dialog acts:
fe004: of oz. (74)
mn015: um (75)
fe046: it's very exciting. (76)",Statement,Bed006,76,test,mrda
"dialog acts:
mn015: um (75)
fe046: it's very exciting. (76)
mn015: we're sticking with the term wizard. (77)",Statement,Bed006,77,test,mrda
"dialog acts:
fe046: it's very exciting. (76)
mn015: we're sticking with the term wizard. (77)
fe046: yes. (78)",Statement,Bed006,78,test,mrda
"dialog acts:
mn015: we're sticking with the term wizard. (77)
fe046: yes. (78)
fe046: yes. (79)",Continuer,Bed006,79,test,mrda
"dialog acts:
fe046: yes. (78)
fe046: yes. (79)
mn015: okay. (80)",Continuer,Bed006,80,test,mrda
"dialog acts:
fe046: yes. (79)
mn015: okay. (80)
mn015: and um (81)",Floor Holder,Bed006,81,test,mrda
"dialog acts:
mn015: okay. (80)
mn015: and um (81)
fe004: not witch like. (82)",Statement,Bed006,82,test,mrda
"dialog acts:
mn015: and um (81)
fe004: not witch like. (82)
me003: wizardette. (83)",Statement,Bed006,83,test,mrda
"dialog acts:
fe004: not witch like. (82)
me003: wizardette. (83)
me045: wizard. (84)",Statement,Bed006,84,test,mrda
"dialog acts:
me003: wizardette. (83)
me045: wizard. (84)
me012: wizardess. (85)",Statement,Bed006,85,test,mrda
"dialog acts:
me045: wizard. (84)
me012: wizardess. (85)
mn015: sorceress i think. (86)",Statement,Bed006,86,test,mrda
"dialog acts:
me012: wizardess. (85)
mn015: sorceress i think. (86)
fe004: okay. (87)",Statement,Bed006,87,test,mrda
"dialog acts:
mn015: sorceress i think. (86)
fe004: okay. (87)
fe046: wizard. (88)",Statement,Bed006,88,test,mrda
"dialog acts:
fe004: okay. (87)
fe046: wizard. (88)
mn015: wizard. (89)",Statement,Bed006,89,test,mrda
"dialog acts:
fe046: wizard. (88)
mn015: wizard. (89)
fe004: okay. (90)",Statement,Bed006,90,test,mrda
"dialog acts:
mn015: wizard. (89)
fe004: okay. (90)
mn015: uh by by popular vote. (91)",Statement,Bed006,91,test,mrda
"dialog acts:
fe004: okay. (90)
mn015: uh by by popular vote. (91)
mn015: um (92)",Floor Holder,Bed006,92,test,mrda
"dialog acts:
mn015: uh by by popular vote. (91)
mn015: um (92)
fe004: didn't take a vote. (93)",Statement,Bed006,93,test,mrda
"dialog acts:
mn015: um (92)
fe004: didn't take a vote. (93)
fe004: okay. (94)",Statement,Bed006,94,test,mrda
"dialog acts:
fe004: didn't take a vote. (93)
fe004: okay. (94)
mn015: okay um why don't we get started on that subject anyways? (95)",Floor Grabber,Bed006,95,test,mrda
"dialog acts:
fe004: okay. (94)
mn015: okay um why don't we get started on that subject anyways? (95)
mn015: um so we're about to collect data. (96)",Floor Holder,Bed006,96,test,mrda
"dialog acts:
mn015: okay um why don't we get started on that subject anyways? (95)
mn015: um so we're about to collect data. (96)
mn015: and um the uh the following things have happened since we last met. (97)",Statement,Bed006,97,test,mrda
"dialog acts:
mn015: um so we're about to collect data. (96)
mn015: and um the uh the following things have happened since we last met. (97)
mn015: when will we three meet again? (98)",Wh-Question,Bed006,98,test,mrda
"dialog acts:
mn015: and um the uh the following things have happened since we last met. (97)
mn015: when will we three meet again? (98)
mn015: and um (99)",Floor Holder,Bed006,99,test,mrda
"dialog acts:
mn015: when will we three meet again? (98)
mn015: and um (99)
fe004: more than three of us. (100)",Statement,Bed006,100,test,mrda
"dialog acts:
mn015: and um (99)
fe004: more than three of us. (100)
mn015: what happened is that um a there was some confusion between you and jerry with the that leading to your talking to catherine snow. (101)",Statement,Bed006,101,test,mrda
"dialog acts:
fe004: more than three of us. (100)
mn015: what happened is that um a there was some confusion between you and jerry with the that leading to your talking to catherine snow. (101)
mn015: and he was uh he he agreed completely that something confusing happened. (102)",Statement,Bed006,102,test,mrda
"dialog acts:
mn015: what happened is that um a there was some confusion between you and jerry with the that leading to your talking to catherine snow. (101)
mn015: and he was uh he he agreed completely that something confusing happened. (102)
mn015: um his idea was to get sort of the the lists of mayors of the department. (103)",Statement,Bed006,103,test,mrda
"dialog acts:
mn015: and he was uh he he agreed completely that something confusing happened. (102)
mn015: um his idea was to get sort of the the lists of mayors of the department. (103)
mn015: the students. (104)",Statement,Bed006,104,test,mrda
"dialog acts:
mn015: um his idea was to get sort of the the lists of mayors of the department. (103)
mn015: the students. (104)
mn015: it it's exactly how you interpreted it. (105)",Statement,Bed006,105,test,mrda
"dialog acts:
mn015: the students. (104)
mn015: it it's exactly how you interpreted it. (105)
me045: the list of majors in the department? (106)",Yes-No-question,Bed006,106,test,mrda
"dialog acts:
mn015: it it's exactly how you interpreted it. (105)
me045: the list of majors in the department? (106)
mn015: sort of (107)",Interrupted/Abandoned/Uninterpretable,Bed006,107,test,mrda
"dialog acts:
me045: the list of majors in the department? (106)
mn015: sort of (107)
fe046: majors? (108)",Yes-No-question,Bed006,108,test,mrda
"dialog acts:
mn015: sort of (107)
fe046: majors? (108)
mn015: majors majors. (109)",Statement,Bed006,109,test,mrda
"dialog acts:
fe046: majors? (108)
mn015: majors majors. (109)
fe046: majors? (110)",Yes-No-question,Bed006,110,test,mrda
"dialog acts:
mn015: majors majors. (109)
fe046: majors? (110)
fe046: okay mayor. (111)",Statement,Bed006,111,test,mrda
"dialog acts:
fe046: majors? (110)
fe046: okay mayor. (111)
mn015: mayors. (112)",Statement,Bed006,112,test,mrda
"dialog acts:
fe046: okay mayor. (111)
mn015: mayors. (112)
fe046: something i don't know about these. (113)",Statement,Bed006,113,test,mrda
"dialog acts:
mn015: mayors. (112)
fe046: something i don't know about these. (113)
mn015: majors. (114)",Statement,Bed006,114,test,mrda
"dialog acts:
fe046: something i don't know about these. (113)
mn015: majors. (114)
fe004: the department has many mayors. (115)",Statement,Bed006,115,test,mrda
"dialog acts:
mn015: majors. (114)
fe004: the department has many mayors. (115)
mn015: majors. (116)",Statement,Bed006,116,test,mrda
"dialog acts:
fe004: the department has many mayors. (115)
mn015: majors. (116)
fe046: okay. (117)",Statement,Bed006,117,test,mrda
"dialog acts:
mn015: majors. (116)
fe046: okay. (117)
mn015: and um just sending the the little write up that we did on to those email lists. (118)",Statement,Bed006,118,test,mrda
"dialog acts:
fe046: okay. (117)
mn015: and um just sending the the little write up that we did on to those email lists. (118)
fe046: okay. (119)",Statement,Bed006,119,test,mrda
"dialog acts:
mn015: and um just sending the the little write up that we did on to those email lists. (118)
fe046: okay. (119)
fe046: yeah yeah yeah. (120)",Statement,Bed006,120,test,mrda
"dialog acts:
fe046: okay. (119)
fe046: yeah yeah yeah. (120)
fe046: but (121)",Interrupted/Abandoned/Uninterpretable,Bed006,121,test,mrda
"dialog acts:
fe046: yeah yeah yeah. (120)
fe046: but (121)
fe046: yeah. (122)",Statement,Bed006,122,test,mrda
"dialog acts:
fe046: but (121)
fe046: yeah. (122)
mn015: uh (123)",Floor Holder,Bed006,123,test,mrda
"dialog acts:
fe046: yeah. (122)
mn015: uh (123)
fe046: so it was really carol snow who was confused not me and not jerry. (124)",Statement,Bed006,124,test,mrda
"dialog acts:
mn015: uh (123)
fe046: so it was really carol snow who was confused not me and not jerry. (124)
mn015: yep yep yep. (125)",Statement,Bed006,125,test,mrda
"dialog acts:
fe046: so it was really carol snow who was confused not me and not jerry. (124)
mn015: yep yep yep. (125)
mn015: okay. (126)",Statement,Bed006,126,test,mrda
"dialog acts:
mn015: yep yep yep. (125)
mn015: okay. (126)
mn015: so (127)",Floor Holder,Bed006,127,test,mrda
"dialog acts:
mn015: okay. (126)
mn015: so (127)
fe046: that's good. (128)",Statement,Bed006,128,test,mrda
"dialog acts:
mn015: so (127)
fe046: that's good. (128)
mn015: so that is uh (129)",Statement,Bed006,129,test,mrda
"dialog acts:
fe046: that's good. (128)
mn015: so that is uh (129)
fe046: so i should still do that? (130)",Yes-No-question,Bed006,130,test,mrda
"dialog acts:
mn015: so that is uh (129)
fe046: so i should still do that? (130)
mn015: yep. (131)",Statement,Bed006,131,test,mrda
"dialog acts:
fe046: so i should still do that? (130)
mn015: yep. (131)
fe046: okay. (132)",Statement,Bed006,132,test,mrda
"dialog acts:
mn015: yep. (131)
fe046: okay. (132)
fe046: and using the thing that you wrote up. (133)",Statement,Bed006,133,test,mrda
"dialog acts:
fe046: okay. (132)
fe046: and using the thing that you wrote up. (133)
mn015: and (134)",Interrupted/Abandoned/Uninterpretable,Bed006,134,test,mrda
"dialog acts:
fe046: and using the thing that you wrote up. (133)
mn015: and (134)
mn015: yep. (135)",Statement,Bed006,135,test,mrda
"dialog acts:
mn015: and (134)
mn015: yep. (135)
fe046: okay. (136)",Statement,Bed006,136,test,mrda
"dialog acts:
mn015: yep. (135)
fe046: okay. (136)
mn015: wonderful. (137)",Statement,Bed006,137,test,mrda
"dialog acts:
fe046: okay. (136)
mn015: wonderful. (137)
mn015: and um we have a little description of asking subjects to contact fey for you know recruiting them for our thing. (138)",Statement,Bed006,138,test,mrda
"dialog acts:
mn015: wonderful. (137)
mn015: and um we have a little description of asking subjects to contact fey for you know recruiting them for our thing. (138)
mn015: and um there was some confusion as to the consent form which is basically that that what what you just signed. (139)",Floor Holder,Bed006,139,test,mrda
"dialog acts:
mn015: and um we have a little description of asking subjects to contact fey for you know recruiting them for our thing. (138)
mn015: and um there was some confusion as to the consent form which is basically that that what what you just signed. (139)
fe004: right. (140)",Continuer,Bed006,140,test,mrda
"dialog acts:
mn015: and um there was some confusion as to the consent form which is basically that that what what you just signed. (139)
fe004: right. (140)
mn015: and since we have one already um (141)",Statement,Bed006,141,test,mrda
"dialog acts:
fe004: right. (140)
mn015: and since we have one already um (141)
fe004: did jerry talk to you about maybe using our class? (142)",Yes-No-question,Bed006,142,test,mrda
"dialog acts:
mn015: and since we have one already um (141)
fe004: did jerry talk to you about maybe using our class? (142)
fe004: the students in the undergrad class that he's teaching? (143)",Yes-No-question,Bed006,143,test,mrda
"dialog acts:
fe004: did jerry talk to you about maybe using our class? (142)
fe004: the students in the undergrad class that he's teaching? (143)
mn015: um well he said um we definitely yes. (144)",Floor Holder,Bed006,144,test,mrda
"dialog acts:
fe004: the students in the undergrad class that he's teaching? (143)
mn015: um well he said um we definitely yes. (144)
mn015: however there is always more people in a in a uh in a department than are just taking his class or anybody else's class at the moment. (145)",Statement,Bed006,145,test,mrda
"dialog acts:
mn015: um well he said um we definitely yes. (144)
mn015: however there is always more people in a in a uh in a department than are just taking his class or anybody else's class at the moment. (145)
fe004: yeah. (146)",Continuer,Bed006,146,test,mrda
"dialog acts:
mn015: however there is always more people in a in a uh in a department than are just taking his class or anybody else's class at the moment. (145)
fe004: yeah. (146)
mn015: and one should sort of reach out and try and get them all. (147)",Statement,Bed006,147,test,mrda
"dialog acts:
fe004: yeah. (146)
mn015: and one should sort of reach out and try and get them all. (147)
fe004: okay but i guess it's that um people in his class cover a different set. (148)",Statement,Bed006,148,test,mrda
"dialog acts:
mn015: and one should sort of reach out and try and get them all. (147)
fe004: okay but i guess it's that um people in his class cover a different set. (148)
fe004: so (149)",Floor Holder,Bed006,149,test,mrda
"dialog acts:
fe004: okay but i guess it's that um people in his class cover a different set. (148)
fe004: so (149)
fe004: than the (150)",Statement,Bed006,150,test,mrda
"dialog acts:
fe004: so (149)
fe004: than the (150)
fe004: is the cogsci department that you were talking about? (151)",Yes-No-question,Bed006,151,test,mrda
"dialog acts:
fe004: than the (150)
fe004: is the cogsci department that you were talking about? (151)
fe046: i guess. (152)",Statement,Bed006,152,test,mrda
"dialog acts:
fe004: is the cogsci department that you were talking about? (151)
fe046: i guess. (152)
fe004: uh reaching out to. (153)",Statement,Bed006,153,test,mrda
"dialog acts:
fe046: i guess. (152)
fe004: uh reaching out to. (153)
fe046: see (154)",Interrupted/Abandoned/Uninterpretable,Bed006,154,test,mrda
"dialog acts:
fe004: uh reaching out to. (153)
fe046: see (154)
fe004: because we have you know people from other areas. (155)",Statement,Bed006,155,test,mrda
"dialog acts:
fe046: see (154)
fe004: because we have you know people from other areas. (155)
fe046: that's what i suggested to him that people like like jerry and george and et cetera just (156)",Statement,Bed006,156,test,mrda
"dialog acts:
fe004: because we have you know people from other areas. (155)
fe046: that's what i suggested to him that people like like jerry and george and et cetera just (156)
mn015: yeah. (157)",Continuer,Bed006,157,test,mrda
"dialog acts:
fe046: that's what i suggested to him that people like like jerry and george and et cetera just (156)
mn015: yeah. (157)
fe004: advertise in their classes as well. (158)",Statement,Bed006,158,test,mrda
"dialog acts:
mn015: yeah. (157)
fe004: advertise in their classes as well. (158)
fe046: yeah. (159)",Statement,Bed006,159,test,mrda
"dialog acts:
fe004: advertise in their classes as well. (158)
fe046: yeah. (159)
fe046: or even i could you know i could do the actual (160)",Statement,Bed006,160,test,mrda
"dialog acts:
fe046: yeah. (159)
fe046: or even i could you know i could do the actual (160)
fe004: because i mean i i know how to contact our students. (161)",Statement,Bed006,161,test,mrda
"dialog acts:
fe046: or even i could you know i could do the actual (160)
fe004: because i mean i i know how to contact our students. (161)
mn015: uhhuh. (162)",Continuer,Bed006,162,test,mrda
"dialog acts:
fe004: because i mean i i know how to contact our students. (161)
mn015: uhhuh. (162)
fe046: that's generally the way it's done. (163)",Statement,Bed006,163,test,mrda
"dialog acts:
mn015: uhhuh. (162)
fe046: that's generally the way it's done. (163)
fe004: so if there's something that you're sending out you can also um send me a copy. (164)",Statement,Bed006,164,test,mrda
"dialog acts:
fe046: that's generally the way it's done. (163)
fe004: so if there's something that you're sending out you can also um send me a copy. (164)
mn015: yeah. (165)",Continuer,Bed006,165,test,mrda
"dialog acts:
fe004: so if there's something that you're sending out you can also um send me a copy. (164)
mn015: yeah. (165)
fe004: me or bhaskara could either of us could post it to (166)",Statement,Bed006,166,test,mrda
"dialog acts:
mn015: yeah. (165)
fe004: me or bhaskara could either of us could post it to (166)
fe004: uh (167)",Floor Holder,Bed006,167,test,mrda
"dialog acts:
fe004: me or bhaskara could either of us could post it to (166)
fe004: uh (167)
fe004: is it (168)",Interrupted/Abandoned/Uninterpretable,Bed006,168,test,mrda
"dialog acts:
fe004: uh (167)
fe004: is it (168)
fe004: if it's a general solicitation that you know is just contact you then we can totally post it to the news group. (169)",Statement,Bed006,169,test,mrda
"dialog acts:
fe004: is it (168)
fe004: if it's a general solicitation that you know is just contact you then we can totally post it to the news group. (169)
fe046: a mailing list. (170)",Statement,Bed006,170,test,mrda
"dialog acts:
fe004: if it's a general solicitation that you know is just contact you then we can totally post it to the news group. (169)
fe046: a mailing list. (170)
mn015: uhhuh. (171)",Continuer,Bed006,171,test,mrda
"dialog acts:
fe046: a mailing list. (170)
mn015: uhhuh. (171)
fe046: yeah. (172)",Continuer,Bed006,172,test,mrda
"dialog acts:
mn015: uhhuh. (171)
fe046: yeah. (172)
mn015: yeah. (173)",Continuer,Bed006,173,test,mrda
"dialog acts:
fe046: yeah. (172)
mn015: yeah. (173)
fe004: so (174)",Floor Holder,Bed006,174,test,mrda
"dialog acts:
mn015: yeah. (173)
fe004: so (174)
mn015: do it. (175)",Statement,Bed006,175,test,mrda
"dialog acts:
fe004: so (174)
mn015: do it. (175)
fe046: that's (176)",Interrupted/Abandoned/Uninterpretable,Bed006,176,test,mrda
"dialog acts:
mn015: do it. (175)
fe046: that's (176)
mn015: yeah. (177)",Continuer,Bed006,177,test,mrda
"dialog acts:
fe046: that's (176)
mn015: yeah. (177)
fe004: okay. (178)",Statement,Bed006,178,test,mrda
"dialog acts:
mn015: yeah. (177)
fe004: okay. (178)
fe004: so you'll send it? (179)",Yes-No-question,Bed006,179,test,mrda
"dialog acts:
fe004: okay. (178)
fe004: so you'll send it? (179)
fe004: or something? (180)",Or Question,Bed006,180,test,mrda
"dialog acts:
fe004: so you'll send it? (179)
fe004: or something? (180)
fe004: so (181)",Floor Holder,Bed006,181,test,mrda
"dialog acts:
fe004: or something? (180)
fe004: so (181)
mn015: as a matter of fact if you (182)",Statement,Bed006,182,test,mrda
"dialog acts:
fe004: so (181)
mn015: as a matter of fact if you (182)
fe046: i can send it. (183)",Statement,Bed006,183,test,mrda
"dialog acts:
mn015: as a matter of fact if you (182)
fe046: i can send it. (183)
fe046: i'll send it. (184)",Statement,Bed006,184,test,mrda
"dialog acts:
fe046: i can send it. (183)
fe046: i'll send it. (184)
fe004: you can send it to me. (185)",Statement,Bed006,185,test,mrda
"dialog acts:
fe046: i'll send it. (184)
fe004: you can send it to me. (185)
mn015: if (186)",Interrupted/Abandoned/Uninterpretable,Bed006,186,test,mrda
"dialog acts:
fe004: you can send it to me. (185)
mn015: if (186)
fe004: okay. (187)",Statement,Bed006,187,test,mrda
"dialog acts:
mn015: if (186)
fe004: okay. (187)
fe046: yeah. (188)",Continuer,Bed006,188,test,mrda
